type,label,page,gold_text,pred_text,gold_start,gold_end,pred_start,pred_end
FN,F2_Expression,16,"
Derde Brief",,4,16,,
FN,E18_Physical_Thing,16,Hoxenberg,,621,630,,
FN,Mode_of_Transportation,16,zes paarden,,1777,1788,,
FP,Mode_of_Transportation,16,,rondwandelen,,,440,452
FP,E52_Time_Span,16,,den 4,,,485,490
FP,Mode_of_Transportation,16,,beklommen,,,631,640
FP,E53_Place,16,,vallei,,,1342,1348
TP,E53_Place,16,"


Cassel",Cassel,17,26,20,26
TP,E52_Time_Span,16,7 July 1816,den 7 July 1816,31,42,27,42
TP,E52_Time_Span,16,eene halve dag,halve dag,99,113,104,113
TP,E53_Place,16,Paderborn,Paderborn,118,127,118,127
TP,Mode_of_Transportation,16,ryden,ryden,145,150,145,150
TP,E52_Time_Span,16,dien nagt,dien nagt,183,192,183,192
TP,E53_Place,16,Warburg,Warburg,209,216,209,216
TP,E52_Time_Span,16,volgende avond,volgende avond,242,256,242,256
TP,E52_Time_Span,16,5 uuren,5 uuren,257,264,257,264
TP,E53_Place,16,Paderborn,Paderborn,313,322,313,322
TP,E53_Place,16,Cassel,Cassel,403,409,403,409
TP,Mode_of_Transportation,16,reden,reden,459,464,459,464
TP,E52_Time_Span,16,Donderdag,Donderdag,469,478,469,478
TP,E52_Time_Span,16,1 uur,1 uur,494,499,494,499
TP,Mode_of_Transportation,16,Extrapost,Extrapost,504,513,504,513
TP,E53_Place,16,Paderborn,Paderborn,518,527,518,527
TP,E53_Place,16,Paderborn,Paderborn,711,720,711,720
TP,E18_Physical_Thing,16,7 bergen,7 bergen,829,837,829,837
TP,E53_Place,16,Dornhagen,Dornhagen,960,969,960,969
TP,E53_Place,16,Grondsteinheim,Grondsteinheim,1043,1057,1043,1057
TP,E52_Time_Span,16,langen tyd,langen tyd,1135,1145,1135,1145
TP,Mode_of_Transportation,16,rytuig,rytuig,1165,1171,1165,1171
TP,Mode_of_Transportation,16,reden,reden,1305,1310,1305,1310
TP,E52_Time_Span,16,3½ uur,3½ uur,1317,1323,1317,1323
TP,E53_Place,16,Lichtenau,Lichtenau,1365,1374,1365,1374
TP,E53_Place,16,Neuhaus,Neuhaus,1442,1449,1442,1449
TP,E53_Place,16,Paderborn,Paderborn,1453,1462,1453,1462
TP,E53_Place,16,Cassel,Cassel,1634,1640,1634,1640
TP,E52_Time_Span,16,vijf vieren deel uur,vijf vieren deel uur,1727,1747,1727,1747
FN,Mode_of_Transportation,17,4 paarden,,28,37,,
FN,Mode_of_Transportation,17,6 paarden,,317,326,,
FN,Mode_of_Transportation,17,twee van vier,,551,564,,
FN,Mode_of_Transportation,17,reden,,845,850,,
FN,Mode_of_Transportation,17,4 jonge paarden,,1057,1072,,
FP,E53_Place,17,,station,,,198,205
FP,E53_Place,17,,station,,,309,316
FP,E53_Place,17,,afgrond,,,1350,1357
TP,E53_Place,17,Paderborn,Paderborn,96,105,96,105
TP,Mode_of_Transportation,17,wagen voor zeven personen,wagen,499,524,499,504
TP,Mode_of_Transportation,17,Munstersche wagen,Munstersche wagen,621,638,621,638
TP,E52_Time_Span,17,vorige dag,de vorige dag,697,707,694,707
TP,Mode_of_Transportation,17,Extrapost,Extrapost,815,824,815,824
TP,E52_Time_Span,17,5 uur,5 uur,864,869,864,869
TP,Mode_of_Transportation,17,wagen,wagen,886,891,886,891
TP,E19_Physical_Object,17,koffers,koffers,999,1006,999,1006
TP,Mode_of_Transportation,17,met 4 paarden bespannen rytuig,rytuig,1141,1171,1165,1171
TP,Mode_of_Transportation,17,wagen,wagen,1289,1294,1289,1294
TP,E18_Physical_Thing,17,hooge bergen,bergen,1531,1543,1537,1543
TP,E18_Physical_Thing,17,bergen,bergen,1638,1644,1638,1644
TP,Mode_of_Transportation,17,wagen,wagen,1845,1850,1845,1850
TP,E19_Physical_Object,17,koffer,koffer,1942,1948,1942,1948
TP,E53_Place,17,Kleinenberg,Kleinenberg,2002,2013,2002,2013
TP,E53_Place,17,uitgestrekt bosch,bosch,2049,2066,2061,2066
TP,E53_Place,17,Hardehauserwoud,Hardehauserwoud,2090,2105,2090,2105
TP,E18_Physical_Thing,17,klooster,klooster,2123,2131,2123,2131
TP,E18_Physical_Thing,17,Desenberg,Desenberg,2237,2246,2237,2246
TP,E52_Time_Span,17,een uur,een uur,2247,2254,2247,2254
TP,E53_Place,17,Warburg,Warburg,2261,2268,2261,2268
TP,E52_Time_Span,17,8 uur,8 uur,2318,2323,2318,2323
FN,E52_Time_Span,18,groot uur,,690,699,,
FN,Mode_of_Transportation,18,doorgereden,,885,896,,
FN,Mode_of_Transportation,18,wandelingen,,985,996,,
FN,Mode_of_Transportation,18,reden,,1224,1229,,
FN,F2_Expression,18,de geheele achtste brief der wandeling door een gedeelte van Duitschland 1 deel van bladz: 125-136,,1376,1474,,
FN,Mode_of_Transportation,18,rydende,,1617,1624,,
FN,Mode_of_Transportation,18,reden,,1727,1732,,
FN,E18_Physical_Thing,18,Wilhelmhohe,,2302,2313,,
FP,E19_Physical_Object,18,,bagagie,,,588,595
FP,E52_Time_Span,18,,donkeren,,,948,956
FP,E19_Physical_Object,18,,bedden,,,1041,1047
FP,E31_Document,18,,achtste brief der wandeling door een gedeelte van Duitschland 1 deel van bladz: 125-136,,,1387,1474
FP,E53_Place,18,,Wilhelmhohe,,,2302,2313
TP,E53_Place,18,Ossendorf,Ossendorf,5,14,5,14
TP,E18_Physical_Thing,18,posthuis,posthuis,65,73,65,73
TP,E53_Place,18,Ocksendorf,Ocksendorf,115,125,115,125
TP,E53_Place,18,Ossendorf,Ossendorf,173,182,173,182
TP,E53_Place,18,Ossen,Ossen,227,232,227,232
TP,E53_Place,18,Ocksendorf,Ocksendorf,236,246,236,246
TP,Mode_of_Transportation,18,Extrapost,Extrapost,311,320,311,320
TP,Mode_of_Transportation,18,postwagen,postwagen,339,348,339,348
TP,Mode_of_Transportation,18,postwagen,postwagen,557,566,557,566
TP,E52_Time_Span,18,avond,avond,666,671,666,671
TP,E53_Place,18,Warburg,Warburg,677,684,677,684
TP,Mode_of_Transportation,18,wandelden,wandelden,710,719,710,719
TP,E52_Time_Span,18,dien nagt,nagt,869,878,874,878
TP,E52_Time_Span,18,des morgens,des morgens,899,910,899,910
TP,E53_Place,18,Cassel,Cassel,919,925,919,925
TP,E53_Place,18,Warburg,Warburg,964,971,964,971
TP,Mode_of_Transportation,18,zeer goed rytuig en een span beste paarden,rytuig,1092,1134,1102,1108
TP,E18_Physical_Thing,18,Gasthofe Desenburg,Gasthofe Desenburg,1162,1180,1162,1180
TP,E52_Time_Span,18,de volgende morgen,volgende morgen,1194,1212,1197,1212
TP,E53_Place,18,Warburg,Warburg,1213,1220,1213,1220
TP,E53_Place,18,Dalheim,Dalheim,1246,1253,1246,1253
TP,E18_Physical_Thing,18,Desenberg,Desenberg,1294,1303,1294,1303
TP,E18_Physical_Thing,18,Desenberg,Desenberg,1358,1367,1358,1367
TP,E53_Place,18,Warburg,Warburg,1564,1571,1564,1571
TP,E53_Place,18,Ehrings,Ehrings,1598,1605,1598,1605
TP,E53_Place,18,Libenau,Libenau,1609,1616,1609,1616
TP,E53_Place,18,Ober,Ober,1642,1646,1642,1646
TP,E53_Place,18,Nider Lichtingen,Nider Lichtingen,1655,1671,1655,1671
